10377,25.79,17.58,91,834,2,7,511,1536,306,9030
14354,25.58,17.58,89,834,3,7,511,1536,306,9542
0,0,0,0,0,0,0,0,0,0
18332,25.42,17.59,89,834,3,7,511,1536,306,9542
22309,25.30,17.59,88,834,3,8,511,188,-250,13823
27181,25.20,17.60,87,834,2,9,511,1536,306,9798
31158,25.14,17.61,87,834,3,7,511,1536,306,9798
35136,25.09,17.61,88,834,3,7,511,1536,306,9798
39113,25.05,17.59,88,834,1,9,511,1536,306,9286
43984,25.02,17.59,87,834,3,7,511,1536,306,9030
47963,25.00,17.59,87,834,3,8,511,1536,306,9030
51940,24.99,17.58,88,834,11,13,511,1536,306,8774
55917,24.98,17.58,88,834,3,8,511,1536,306,9286
59894,24.97,17.58,88,834,1,7,511,1536,306,9542
10377,25.79,17.58,91,834,2,7,511,1536,306,9030
14354,25.58,17.58,89,834,3,7,511,1536,306,9542
